grammy_year,category,work_title,artist,winner,match_type,wasabi_title,wasabi_artist,wasabi_album,genre,album_genre,bpm,gain,publication_date,language,decade
1959,"Best Vocal Performance, Female",But Not For Me,Ella Fitzgerald,True,song,But Not For Me,Ella Fitzgerald,Ella: The Legendary Decca Recordings,,Jazz,79.0,-15.9,2008-02-04,eng,1950s
1959,"Best Vocal Performance, Male",Mack The Knife (Single),Bobby Darin,False,song,Mack The Knife,Bobby Darin,That's All,"[""Jazz"",""Pop music""]",Pop,168.8,-11.8,0000-00-00,eng,1950s
1959,"Best Vocal Performance, Male",Guess Who,Jesse Belvin,False,song,Guess Who?,Jesse Belvin,Other Songs,,,,,0000-00-00,,1950s
1959,"Best Vocal Performance, Male",Come Dance With Me,Frank Sinatra,True,song,Come Dance With Me,Frank Sinatra,Come Dance With Me!,"[""Jazz""]",Classic Pop,,,2007-01-01,eng,1950s
1959,Best Performance By A Vocal Group Or Chorus,The Three Bells,The Browns,False,song,The Three Bells,The Browns,Sweet Sounds By The Browns,[],Country,108.5,-14.0,2010-07-16,,1950s
1959,"Best Performance By A ""Top 40"" Artist",A Big Hunk O' Love (Single),Elvis Presley,False,song,A Big Hunk O' Love,Elvis Presley,"Elvis' Gold Records, Vol. 2","[""Rock and roll""]",Rock &apos;N&apos; Roll,173.0,-10.9,2007-02-24,eng,1950s
1959,"Best Performance By A ""Top 40"" Artist",Broken Hearted Melody,Sarah Vaughan,False,song,Broken Hearted Melody,Sarah Vaughan,Sarah Vaughan's Golden Hits!!!,,Jazz,131.0,-14.9,2010-01-04,,1950s
1959,"Best Performance By A ""Top 40"" Artist",Charlie Brown,The Coasters,False,song,Charlie Brown,The Coasters,Baby That Is Rock 'N' Roll,,,128.0,-20.4,2008-07-14,eng,1950s
1959,"Best Performance By A ""Top 40"" Artist",Midnight Flyer,"Nat ""King"" Cole",True,song,Midnight Flyer,Nat King Cole,The Classic Singles,,,124.0,,2008-06-24,,1950s
1959,Best Country & Western Performance,Don't Tell Me Your Troubles (Single),Don Gibson,False,song,Don't Tell Me Your Troubles,Don Gibson,A Legend In My Time,,Country,100.0,-11.5,2001-05-15,,1950s
1959,Best Country & Western Performance,Tennessee Stud,Eddy Arnold,False,song,Tennessee Stud,Eddy Arnold,Thereby Hangs A Tale (RCA Victor),,,94.0,-15.2,2000-10-16,,1950s
1959,Best Country & Western Performance,Home,Jim Reeves,False,song,Home,Jim Reeves,Legendary,,,156.0,-15.6,2003-05-19,,1950s
